name,scn_name,bus,carrier,p_set
0 AC,eGon2035,0,AC,0.0
1 AC,eGon2035,1,AC,0.0
10 AC,eGon2035,10,AC,0.0
11 AC,eGon2035,11,AC,0.0
12 AC,eGon2035,12,AC,0.0
13 AC,eGon2035,13,AC,0.0
14 AC,eGon2035,14,AC,0.0
15 AC,eGon2035,15,AC,0.0
2 AC,eGon2035,2,AC,0.0
3 AC,eGon2035,3,AC,0.0
32145 AC,eGon2035,32145,AC,0.0
32904 AC,eGon2035,32904,AC,0.0
32905 AC,eGon2035,32905,AC,0.0
32941 AC,eGon2035,32941,AC,0.0
32958 AC,eGon2035,32958,AC,0.0
32959 AC,eGon2035,32959,AC,0.0
32976 AC,eGon2035,32976,AC,0.0
32987 AC,eGon2035,32987,AC,0.0
33023 AC,eGon2035,33023,AC,0.0
33024 AC,eGon2035,33024,AC,0.0
33458 AC,eGon2035,33458,AC,0.0
33945 AC,eGon2035,33945,AC,0.0
34192 AC,eGon2035,34192,AC,0.0
34697 AC,eGon2035,34697,AC,0.0
34709 AC,eGon2035,34709,AC,0.0
34938 AC,eGon2035,34938,AC,0.0
35529 AC,eGon2035,35529,AC,0.0
35572 AC,eGon2035,35572,AC,0.0
35655 AC,eGon2035,35655,AC,0.0
35725 AC,eGon2035,35725,AC,0.0
36141 AC,eGon2035,36141,AC,0.0
36148 AC,eGon2035,36148,AC,0.0
4 AC,eGon2035,4,AC,0.0
43775 AC,eGon2035,43775,AC,0.0
43775 H2_for_industry,eGon2035,43775,H2_for_industry,415.02148427083335
43776 AC,eGon2035,43776,AC,0.0
43776 H2_for_industry,eGon2035,43776,H2_for_industry,1598.13083625
43777 AC,eGon2035,43777,AC,0.0
43778 AC,eGon2035,43778,AC,0.0
43778 H2_for_industry,eGon2035,43778,H2_for_industry,517.5741359166666
43779 AC,eGon2035,43779,AC,0.0
43779 H2_for_industry,eGon2035,43779,H2_for_industry,764.9263341666666
43780 AC,eGon2035,43780,AC,0.0
43780 H2_for_industry,eGon2035,43780,H2_for_industry,764.9263341666666
43781 AC,eGon2035,43781,AC,0.0
43781 H2_for_industry,eGon2035,43781,H2_for_industry,1651.7463891666666
43782 AC,eGon2035,43782,AC,0.0
43782 H2_for_industry,eGon2035,43782,H2_for_industry,863.4360502083332
43783 AC,eGon2035,43783,AC,0.0
43783 H2_for_industry,eGon2035,43783,H2_for_industry,863.4360502083332
43784 AC,eGon2035,43784,AC,0.0
43785 AC,eGon2035,43785,AC,0.0
43785 H2_for_industry,eGon2035,43785,H2_for_industry,1694.1099472916665
43786 AC,eGon2035,43786,AC,0.0
43787 AC,eGon2035,43787,AC,0.0
43787 H2_for_industry,eGon2035,43787,H2_for_industry,609.9109516041666
43788 AC,eGon2035,43788,AC,0.0
43788 H2_for_industry,eGon2035,43788,H2_for_industry,1201.6882454166666
48639 CH4,eGon2035,48639,CH4,0.0
48640 CH4,eGon2035,48640,CH4,0.0
48641 CH4,eGon2035,48641,CH4,0.0
48642 CH4,eGon2035,48642,CH4,0.0
48643 CH4,eGon2035,48643,CH4,0.0
48644 CH4,eGon2035,48644,CH4,0.0
48645 CH4,eGon2035,48645,CH4,0.0
48646 CH4,eGon2035,48646,CH4,0.0
48647 CH4,eGon2035,48647,CH4,0.0
48648 CH4,eGon2035,48648,CH4,0.0
48649 CH4,eGon2035,48649,CH4,0.0
48650 CH4,eGon2035,48650,CH4,0.0
49625 central_heat,eGon2035,49625,central_heat,0.0
49783 central_heat,eGon2035,49783,central_heat,0.0
5 AC,eGon2035,5,AC,0.0
50209 central_heat,eGon2035,50209,central_heat,0.0
51119 central_heat,eGon2035,51119,central_heat,0.0
51558 central_heat,eGon2035,51558,central_heat,0.0
51742 central_heat,eGon2035,51742,central_heat,0.0
51841 central_heat,eGon2035,51841,central_heat,0.0
51870 central_heat,eGon2035,51870,central_heat,0.0
51917 central_heat,eGon2035,51917,central_heat,0.0
51963 central_heat,eGon2035,51963,central_heat,0.0
51971 central_heat,eGon2035,51971,central_heat,0.0
51986 central_heat,eGon2035,51986,central_heat,0.0
52002 central_heat,eGon2035,52002,central_heat,0.0
52010 central_heat,eGon2035,52010,central_heat,0.0
52014 central_heat,eGon2035,52014,central_heat,0.0
52016 central_heat,eGon2035,52016,central_heat,0.0
52040 rural_heat,eGon2035,52040,rural_heat,0.0
52041 rural_heat,eGon2035,52041,rural_heat,0.0
52042 rural_heat,eGon2035,52042,rural_heat,0.0
52043 rural_heat,eGon2035,52043,rural_heat,0.0
52044 rural_heat,eGon2035,52044,rural_heat,0.0
52046 rural_heat,eGon2035,52046,rural_heat,0.0
52047 rural_heat,eGon2035,52047,rural_heat,0.0
52052 rural_heat,eGon2035,52052,rural_heat,0.0
52053 rural_heat,eGon2035,52053,rural_heat,0.0
52055 rural_heat,eGon2035,52055,rural_heat,0.0
52058 rural_heat,eGon2035,52058,rural_heat,0.0
52059 rural_heat,eGon2035,52059,rural_heat,0.0
52061 rural_heat,eGon2035,52061,rural_heat,0.0
52064 rural_heat,eGon2035,52064,rural_heat,0.0
52069 rural_heat,eGon2035,52069,rural_heat,0.0
52070 rural_heat,eGon2035,52070,rural_heat,0.0
52072 rural_heat,eGon2035,52072,rural_heat,0.0
52084 rural_heat,eGon2035,52084,rural_heat,0.0
52086 rural_heat,eGon2035,52086,rural_heat,0.0
52141 rural_heat,eGon2035,52141,rural_heat,0.0
52189 rural_heat,eGon2035,52189,rural_heat,0.0
52205 rural_heat,eGon2035,52205,rural_heat,0.0
52213 rural_heat,eGon2035,52213,rural_heat,0.0
52526 rural_heat,eGon2035,52526,rural_heat,0.0
52548 rural_heat,eGon2035,52548,rural_heat,0.0
52665 rural_heat,eGon2035,52665,rural_heat,0.0
52943 rural_heat,eGon2035,52943,rural_heat,0.0
53195 rural_heat,eGon2035,53195,rural_heat,0.0
53265 rural_heat,eGon2035,53265,rural_heat,0.0
53551 rural_heat,eGon2035,53551,rural_heat,0.0
53610 rural_heat,eGon2035,53610,rural_heat,0.0
53783 rural_heat,eGon2035,53783,rural_heat,0.0
53913 rural_heat,eGon2035,53913,rural_heat,0.0
53962 rural_heat,eGon2035,53962,rural_heat,0.0
54255 rural_heat,eGon2035,54255,rural_heat,0.0
54354 rural_heat,eGon2035,54354,rural_heat,0.0
54574 rural_heat,eGon2035,54574,rural_heat,0.0
54578 rural_heat,eGon2035,54578,rural_heat,0.0
54621 rural_heat,eGon2035,54621,rural_heat,0.0
54633 rural_heat,eGon2035,54633,rural_heat,0.0
54910 rural_heat,eGon2035,54910,rural_heat,0.0
55034 rural_heat,eGon2035,55034,rural_heat,0.0
55155 rural_heat,eGon2035,55155,rural_heat,0.0
55464 rural_heat,eGon2035,55464,rural_heat,0.0
55542 rural_heat,eGon2035,55542,rural_heat,0.0
6 AC,eGon2035,6,AC,0.0
69914 land_transport_EV,eGon2035,69914,land_transport_EV,0.0
69915 land_transport_EV,eGon2035,69915,land_transport_EV,0.0
69920 land_transport_EV,eGon2035,69920,land_transport_EV,0.0
69924 land_transport_EV,eGon2035,69924,land_transport_EV,0.0
69925 land_transport_EV,eGon2035,69925,land_transport_EV,0.0
69929 land_transport_EV,eGon2035,69929,land_transport_EV,0.0
69931 land_transport_EV,eGon2035,69931,land_transport_EV,0.0
69942 land_transport_EV,eGon2035,69942,land_transport_EV,0.0
7 AC,eGon2035,7,AC,0.0
70054 land_transport_EV,eGon2035,70054,land_transport_EV,0.0
70127 land_transport_EV,eGon2035,70127,land_transport_EV,0.0
70146 land_transport_EV,eGon2035,70146,land_transport_EV,0.0
70154 land_transport_EV,eGon2035,70154,land_transport_EV,0.0
70175 land_transport_EV,eGon2035,70175,land_transport_EV,0.0
70304 land_transport_EV,eGon2035,70304,land_transport_EV,0.0
70305 land_transport_EV,eGon2035,70305,land_transport_EV,0.0
70310 land_transport_EV,eGon2035,70310,land_transport_EV,0.0
70324 land_transport_EV,eGon2035,70324,land_transport_EV,0.0
70372 land_transport_EV,eGon2035,70372,land_transport_EV,0.0
70492 land_transport_EV,eGon2035,70492,land_transport_EV,0.0
70512 land_transport_EV,eGon2035,70512,land_transport_EV,0.0
70557 land_transport_EV,eGon2035,70557,land_transport_EV,0.0
70583 land_transport_EV,eGon2035,70583,land_transport_EV,0.0
70797 land_transport_EV,eGon2035,70797,land_transport_EV,0.0
70862 land_transport_EV,eGon2035,70862,land_transport_EV,0.0
70868 land_transport_EV,eGon2035,70868,land_transport_EV,0.0
71289 land_transport_EV,eGon2035,71289,land_transport_EV,0.0
71525 land_transport_EV,eGon2035,71525,land_transport_EV,0.0
71534 land_transport_EV,eGon2035,71534,land_transport_EV,0.0
71684 land_transport_EV,eGon2035,71684,land_transport_EV,0.0
71789 land_transport_EV,eGon2035,71789,land_transport_EV,0.0
72135 land_transport_EV,eGon2035,72135,land_transport_EV,0.0
72148 land_transport_EV,eGon2035,72148,land_transport_EV,0.0
72264 land_transport_EV,eGon2035,72264,land_transport_EV,0.0
72275 land_transport_EV,eGon2035,72275,land_transport_EV,0.0
72629 land_transport_EV,eGon2035,72629,land_transport_EV,0.0
73716 land_transport_EV,eGon2035,73716,land_transport_EV,0.0
75607 land_transport_EV,eGon2035,75607,land_transport_EV,0.0
75650 land_transport_EV,eGon2035,75650,land_transport_EV,0.0
75738 land_transport_EV,eGon2035,75738,land_transport_EV,0.0
76604 land_transport_EV,eGon2035,76604,land_transport_EV,0.0
76705 land_transport_EV,eGon2035,76705,land_transport_EV,0.0
76854 land_transport_EV,eGon2035,76854,land_transport_EV,0.0
76970 land_transport_EV,eGon2035,76970,land_transport_EV,0.0
76975 land_transport_EV,eGon2035,76975,land_transport_EV,0.0
77042 land_transport_EV,eGon2035,77042,land_transport_EV,0.0
77522 AC,eGon2035,77522,AC,0.0
77522 land transport EV,eGon2035,77522,land transport EV,0.0
77524 AC,eGon2035,77524,AC,0.0
77525 AC,eGon2035,77525,AC,0.0
77526 AC,eGon2035,77526,AC,0.0
77527 AC,eGon2035,77527,AC,0.0
77528 AC,eGon2035,77528,AC,0.0
77529 AC,eGon2035,77529,AC,0.0
77530 AC,eGon2035,77530,AC,0.0
77531 CH4_for_industry,eGon2035,77531,CH4_for_industry,0.0
77531 rural_gas_boiler,eGon2035,77531,rural_gas_boiler,0.0
77545 H2_for_industry,eGon2035,77545,H2_for_industry,0.0
77545 H2_hgv_load,eGon2035,77545,H2_hgv_load,0.0
77546 central_heat,eGon2035,77546,central_heat,0.0
77547 central_heat,eGon2035,77547,central_heat,0.0
77548 central_heat,eGon2035,77548,central_heat,0.0
77550 central_heat,eGon2035,77550,central_heat,0.0
77552 central_heat,eGon2035,77552,central_heat,0.0
77553 central_heat,eGon2035,77553,central_heat,0.0
77555 central_heat,eGon2035,77555,central_heat,0.0
77556 central_heat,eGon2035,77556,central_heat,0.0
77557 central_heat,eGon2035,77557,central_heat,0.0
77558 central_heat,eGon2035,77558,central_heat,0.0
77559 central_heat,eGon2035,77559,central_heat,0.0
77560 central_heat,eGon2035,77560,central_heat,0.0
77562 central_heat,eGon2035,77562,central_heat,0.0
77564 central_heat,eGon2035,77564,central_heat,0.0
77565 central_heat,eGon2035,77565,central_heat,0.0
77566 central_heat,eGon2035,77566,central_heat,0.0
77568 central_heat,eGon2035,77568,central_heat,0.0
77569 central_heat,eGon2035,77569,central_heat,0.0
77570 central_heat,eGon2035,77570,central_heat,0.0
77574 central_heat,eGon2035,77574,central_heat,0.0
77575 central_heat,eGon2035,77575,central_heat,0.0
77576 central_heat,eGon2035,77576,central_heat,0.0
77582 central_heat,eGon2035,77582,central_heat,0.0
77585 central_heat,eGon2035,77585,central_heat,0.0
8 AC,eGon2035,8,AC,0.0
9 AC,eGon2035,9,AC,0.0
