name,scn_name,bus,carrier,p_nom,p_min_pu,p_max_pu,marginal_cost,efficiency,committable,start_up_cost,min_up_time,min_down_time,up_time_before,ramp_limit_start_up,ramp_limit_shut_down,e_nom_max,control,ramp_limit_up,weight,p_nom_opt
0 biomass,eGon2035,4,biomass,135.2515057453517,0.0,1.0,42.10779290094284,1.0,False,0.0,0,0,0,1.0,1.0,inf,Slack,,135.2515057453517,135.2515057453517
0 central_biomass_CHP,eGon2035,4,central_biomass_CHP,148.23816570559774,0.0,0.9999999999999999,42.10941043327023,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,148.23816570559774,148.23816570559774
0 industrial_biomass_CHP,eGon2035,4,industrial_biomass_CHP,616.1671166106055,0.0,1.0,42.10735196376193,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,616.1671166106055,616.1671166106055
0 load shedding,,4,load shedding,93901305.6690337,0.0,1.0,10000.007914738964,1.0,False,0.0,0,0,1,1.0,1.0,0.0,PQ,,93901305.6690337,93901305.6690337
0 others,eGon2035,4,others,50.025743037678446,0.0,1.0,0.009255505199756896,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,50.025743037678446,50.025743037678446
0 reservoir,eGon2035,4,reservoir,162.67852088078098,0.0,0.6500000000000001,0.007605829011294858,1.0000000000000002,False,0.0,0,0,0,1.0,1.0,inf,PV,,162.67852088078098,162.67852088078098
0 run_of_river,eGon2035,4,run_of_river,49.45791910531347,0.0,0.65,0.008614327531235583,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,49.45791910531347,49.45791910531347
0 solar,eGon2035,4,solar,1240.7979164698352,0.0,0.9999999999999998,0.018057292207923153,0.9999999999999998,False,0.0,0,0,0,1.0,1.0,inf,PV,,1240.7979164698352,1240.7979164698352
0 solar_rooftop,eGon2035,4,solar_rooftop,5972.748220246721,0.0,1.0,0.018598223484636543,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,5972.748220246721,5972.748220246721
0 wind_offshore,eGon2035,4,wind_offshore,4000.0,0.0,1.0,2.5681327177381137,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,4000.0,4000.0
0 wind_onshore,eGon2035,4,wind_onshore,8607.26830479213,0.0,1.0000000000000002,1.3086163901944117,1.0000000000000002,False,0.0,0,0,0,1.0,1.0,inf,PV,,8607.26830479213,8607.26830479213
1 biomass,eGon2035,4,biomass,54.49203950130611,0.0,0.9999999999999998,42.109358731127806,0.9999999999999998,False,0.0,0,0,0,1.0,1.0,inf,PV,,54.49203950130611,54.49203950130611
1 central_biomass_CHP,eGon2035,4,central_biomass_CHP,47.00997510664255,0.0,0.9999999999999999,42.108264986903585,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,47.00997510664255,47.00997510664255
1 industrial_biomass_CHP,eGon2035,4,industrial_biomass_CHP,314.8549356319386,0.0,1.0,42.10842103445987,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,314.8549356319386,314.8549356319386
1 load shedding,,4,load shedding,62050997.93534795,0.0,1.0,10000.007907413657,1.0,False,0.0,0,0,1,1.0,1.0,0.0,PQ,,62050997.93534795,62050997.93534795
1 others,eGon2035,4,others,12.965762257350994,0.0,1.0000000000000002,0.002621081671213398,1.0000000000000002,False,0.0,0,0,0,1.0,1.0,inf,PV,,12.965762257350994,12.965762257350994
1 reservoir,eGon2035,4,reservoir,3.9381559248030067,0.0,0.6500000000000001,0.008856884406141505,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,3.9381559248030067,3.9381559248030067
1 run_of_river,eGon2035,4,run_of_river,56.36272818028936,0.0,0.65,0.009384713347251621,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,56.36272818028936,56.36272818028936
1 solar,eGon2035,4,solar,3846.23856630648,0.0,1.0,0.01769028272765792,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,3846.23856630648,3846.23856630648
1 solar_rooftop,eGon2035,4,solar_rooftop,3569.4645116890815,0.0,1.0,0.01732252276214324,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,3569.4645116890815,3569.4645116890815
1 wind_onshore,eGon2035,4,wind_onshore,6335.029454400376,0.0,1.0,1.3082140947925873,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,6335.029454400376,6335.029454400376
10 biomass,eGon2035,4,biomass,45.05277860512044,0.0,1.0,42.10850115477126,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,45.05277860512044,45.05277860512044
10 central_biomass_CHP,eGon2035,4,central_biomass_CHP,64.07267864042852,0.0,0.9999999999999999,42.10723549928299,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,64.07267864042852,64.07267864042852
10 industrial_biomass_CHP,eGon2035,4,industrial_biomass_CHP,570.495921362877,0.0,1.0,42.10820336426155,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,570.495921362877,570.495921362877
10 load shedding,,4,load shedding,64461977.40522854,0.0,1.0,10000.0077721167,1.0,False,0.0,0,0,1,1.0,1.0,0.0,PQ,,64461977.40522854,64461977.40522854
10 others,eGon2035,4,others,10.586964350018004,0.0,1.0,0.020545393312204552,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,10.586964350018004,10.586964350018004
10 run_of_river,eGon2035,4,run_of_river,25.7907279972286,0.0,0.6499999999999999,0.006904600428940322,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,25.7907279972286,25.7907279972286
10 solar,eGon2035,4,solar,1131.3610941235827,0.0,1.0,0.01761198409554746,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,1131.3610941235827,1131.3610941235827
10 solar_rooftop,eGon2035,4,solar_rooftop,5616.9331097783925,0.0,1.0,0.018917740032677002,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,5616.9331097783925,5616.9331097783925
10 wind_onshore,eGon2035,4,wind_onshore,6998.307388372055,0.0,0.9999999999999999,1.3084890143870713,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,6998.307388372055,6998.307388372055
11 biomass,eGon2035,4,biomass,73.12092195231438,0.0,1.0000000000000002,42.10795315428407,1.0000000000000002,False,0.0,0,0,0,1.0,1.0,inf,PV,,73.12092195231438,73.12092195231438
11 central_biomass_CHP,eGon2035,4,central_biomass_CHP,73.78672411516757,0.0,1.0,42.107673056147306,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,73.78672411516757,73.78672411516757
11 industrial_biomass_CHP,eGon2035,4,industrial_biomass_CHP,341.80049326582355,0.0,1.0,42.107972144778714,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,341.80049326582355,341.80049326582355
11 load shedding,,4,load shedding,126512975.3405765,0.0,1.0,10000.007847936715,1.0,False,0.0,0,0,1,1.0,1.0,0.0,PQ,,126512975.3405765,126512975.3405765
11 oil,eGon2035,4,oil,24.8,0.0,1.0,101.84306105500411,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,24.8,24.8
11 others,eGon2035,4,others,80.09934767980931,0.0,1.0,0.007924228411647428,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,80.09934767980931,80.09934767980931
11 reservoir,eGon2035,4,reservoir,16.159556461823463,0.0,0.65,0.013730041649322086,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,16.159556461823463,16.159556461823463
11 run_of_river,eGon2035,4,run_of_river,427.5646151217227,0.0,0.65,0.008025712283474075,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,427.5646151217227,427.5646151217227
11 solar,eGon2035,4,solar,3470.991832496355,0.0,0.9999999999999999,0.018016021206030478,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,3470.991832496355,3470.991832496355
11 solar_rooftop,eGon2035,4,solar_rooftop,12537.49768081745,0.0,1.0,0.018514068784630487,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,12537.49768081745,12537.49768081745
11 wind_onshore,eGon2035,4,wind_onshore,6086.852569036908,0.0,1.0,1.307959892733069,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,6086.852569036908,6086.852569036908
12 biomass,eGon2035,4,biomass,108.36541692103546,0.0,1.0000000000000002,42.10753993101709,1.0000000000000002,False,0.0,0,0,0,1.0,1.0,inf,PV,,108.36541692103546,108.36541692103546
12 central_biomass_CHP,eGon2035,4,central_biomass_CHP,125.45915203377179,0.0,1.0,42.108266643693234,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,125.45915203377179,125.45915203377179
12 industrial_biomass_CHP,eGon2035,4,industrial_biomass_CHP,231.31440650113487,0.0,1.0,42.10773841600252,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,231.31440650113487,231.31440650113487
12 load shedding,,4,load shedding,176001501.30128345,0.0,0.9999999999999998,10000.007850478029,0.9999999999999998,False,0.0,0,0,1,1.0,1.0,0.0,PQ,,176001501.30128345,176001501.30128345
12 oil,eGon2035,4,oil,65.6,0.0,1.0,101.84143624159161,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,65.6,65.6
12 others,eGon2035,4,others,349.97425696232153,0.0,1.0,0.005041699846446508,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,349.97425696232153,349.97425696232153
12 reservoir,eGon2035,4,reservoir,34.80747775405502,0.0,0.6500000000000001,0.009296474887086658,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,34.80747775405502,34.80747775405502
12 run_of_river,eGon2035,4,run_of_river,3.945555855934778,0.0,0.6500000000000001,0.0077279403530259505,1.0000000000000002,False,0.0,0,0,0,1.0,1.0,inf,PV,,3.945555855934778,3.945555855934778
12 solar,eGon2035,4,solar,252.1186307267206,0.0,1.0,0.01842830929019569,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,252.1186307267206,252.1186307267206
12 solar_rooftop,eGon2035,4,solar_rooftop,11340.591961942828,0.0,0.9999999999999999,0.018333140776545912,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,11340.591961942828,11340.591961942828
12 wind_offshore,eGon2035,4,wind_offshore,1250.0,0.0,1.0,2.5710282284921226,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,1250.0,1250.0
12 wind_onshore,eGon2035,4,wind_onshore,3155.3780647087556,0.0,1.0000000000000002,1.3080133326260421,1.0000000000000002,False,0.0,0,0,0,1.0,1.0,inf,PV,,3155.3780647087556,3155.3780647087556
13 biomass,eGon2035,4,biomass,87.88277950368648,0.0,1.0,42.10802854038312,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,87.88277950368648,87.88277950368648
13 central_biomass_CHP,eGon2035,4,central_biomass_CHP,50.98756039865676,0.0,1.0,42.11063104881508,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,50.98756039865676,50.98756039865676
13 industrial_biomass_CHP,eGon2035,4,industrial_biomass_CHP,558.9491647087439,0.0,1.0,42.108220921840996,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,558.9491647087439,558.9491647087439
13 load shedding,,4,load shedding,80958152.7254642,0.0,0.9999999999999998,10000.008057631183,0.9999999999999998,False,0.0,0,0,1,1.0,1.0,0.0,PQ,,80958152.7254642,80958152.7254642
13 others,eGon2035,4,others,22.236970841666142,0.0,1.0,0.0030851716184816,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,22.236970841666142,22.236970841666142
13 reservoir,eGon2035,4,reservoir,2.5893032160638585,0.0,0.6500000000000001,0.010124916790704461,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,2.5893032160638585,2.5893032160638585
13 run_of_river,eGon2035,4,run_of_river,802.1501411990766,0.0,0.65,0.00787152190052809,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,802.1501411990766,802.1501411990766
13 solar,eGon2035,4,solar,3151.1912412666675,0.0,0.9999999999999999,0.017954052302332237,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,3151.1912412666675,3151.1912412666675
13 solar_rooftop,eGon2035,4,solar_rooftop,7633.6243368026235,0.0,0.9999999999999999,0.018092067246789616,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,7633.6243368026235,7633.6243368026235
13 wind_onshore,eGon2035,4,wind_onshore,2579.500213035278,0.0,1.0000000000000002,1.3086822743154225,1.0000000000000002,False,0.0,0,0,0,1.0,1.0,inf,PV,,2579.500213035278,2579.500213035278
14 biomass,eGon2035,4,biomass,16.373106843691954,0.0,0.9999999999999997,42.10787368336608,0.9999999999999997,False,0.0,0,0,0,1.0,1.0,inf,PV,,16.373106843691954,16.373106843691954
14 central_biomass_CHP,eGon2035,4,central_biomass_CHP,1.5348473000530662,0.0,1.0,42.10429116340349,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,1.5348473000530662,1.5348473000530662
14 industrial_biomass_CHP,eGon2035,4,industrial_biomass_CHP,281.74253280826946,0.0,0.9999999999999999,42.1073849070728,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,281.74253280826946,281.74253280826946
14 load shedding,,4,load shedding,22587070.82309189,0.0,0.9999999999999998,10000.008465090583,0.9999999999999998,False,0.0,0,0,1,1.0,1.0,0.0,PQ,,22587070.82309189,22587070.82309189
14 run_of_river,eGon2035,4,run_of_river,0.26472228718447927,0.0,0.6500000000000001,0.005941449128813764,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,0.26472228718447927,0.26472228718447927
14 solar,eGon2035,4,solar,146.6547779737755,0.0,1.0000000000000002,0.017594800757671277,1.0000000000000002,False,0.0,0,0,0,1.0,1.0,inf,PV,,146.6547779737755,146.6547779737755
14 solar_rooftop,eGon2035,4,solar_rooftop,1106.7326745079388,0.0,1.0,0.019521282532619078,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,1106.7326745079388,1106.7326745079388
14 wind_offshore,eGon2035,4,wind_offshore,8339.0,0.0,1.0,2.5621289963871585,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,8339.0,8339.0
14 wind_onshore,eGon2035,4,wind_onshore,6277.303070263102,0.0,1.0,1.3071644747216193,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,6277.303070263102,6277.303070263102
15 biomass,eGon2035,4,biomass,61.55848698062784,0.0,1.0,42.110664852365296,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,61.55848698062784,61.55848698062784
15 central_biomass_CHP,eGon2035,4,central_biomass_CHP,56.33849674135425,0.0,0.9999999999999999,42.10672842822101,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,56.33849674135425,56.33849674135425
15 industrial_biomass_CHP,eGon2035,4,industrial_biomass_CHP,233.15028447500984,0.0,1.0000000000000002,42.108887311400835,1.0000000000000002,False,0.0,0,0,0,1.0,1.0,inf,PV,,233.15028447500984,233.15028447500984
15 load shedding,,4,load shedding,69791510.97022775,0.0,0.9999999999999997,10000.00761046654,0.9999999999999997,False,0.0,0,0,1,1.0,1.0,0.0,PQ,,69791510.97022775,69791510.97022775
15 oil,eGon2035,4,oil,137.0,0.0,1.0,101.84064809348666,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,137.0,137.0
15 run_of_river,eGon2035,4,run_of_river,91.53834402651046,0.0,0.65,0.007744255483890541,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,91.53834402651046,91.53834402651046
15 solar,eGon2035,4,solar,2517.263321672909,0.0,1.0000000000000002,0.01775171301276466,1.0000000000000002,False,0.0,0,0,0,1.0,1.0,inf,PV,,2517.263321672909,2517.263321672909
15 solar_rooftop,eGon2035,4,solar_rooftop,4086.246780968995,0.0,1.0,0.017987833935185403,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,4086.246780968995,4086.246780968995
15 wind_onshore,eGon2035,4,wind_onshore,3500.157937384436,0.0,1.0,1.30802523143769,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,3500.157937384436,3500.157937384436
2 biomass,eGon2035,4,biomass,44.63529699100501,0.0,0.9999999999999999,42.10784423399999,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,44.63529699100501,44.63529699100501
2 central_biomass_CHP,eGon2035,4,central_biomass_CHP,40.39226709976151,0.0,1.0000000000000002,42.10612311942256,1.0000000000000002,False,0.0,0,0,0,1.0,1.0,inf,PV,,40.39226709976151,40.39226709976151
2 industrial_biomass_CHP,eGon2035,4,industrial_biomass_CHP,566.0512755410066,0.0,0.9999999999999998,42.1083795533301,0.9999999999999998,False,0.0,0,0,0,1.0,1.0,inf,PV,,566.0512755410066,566.0512755410066
2 load shedding,,4,load shedding,74613469.90998894,0.0,0.9999999999999999,10000.00785452736,0.9999999999999999,False,0.0,0,0,1,1.0,1.0,0.0,PQ,,74613469.90998894,74613469.90998894
2 others,eGon2035,4,others,12.931823721898391,0.0,1.0,0.013055515299920864,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,12.931823721898391,12.931823721898391
2 run_of_river,eGon2035,4,run_of_river,740.7055165436874,0.0,0.65,0.007688493017221473,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,740.7055165436874,740.7055165436874
2 solar,eGon2035,4,solar,1241.3688011856502,0.0,1.0000000000000002,0.01778762099983355,1.0000000000000002,False,0.0,0,0,0,1.0,1.0,inf,PV,,1241.3688011856502,1241.3688011856502
2 solar_rooftop,eGon2035,4,solar_rooftop,7139.325812345842,0.0,1.0,0.018152950624851484,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,7139.325812345842,7139.325812345842
2 wind_onshore,eGon2035,4,wind_onshore,1607.6738457195097,0.0,0.9999999999999999,1.3085384845337347,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,1607.6738457195097,1607.6738457195097
3 biomass,eGon2035,4,biomass,87.60199316411644,0.0,0.9999999999999999,42.10786759298989,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,87.60199316411644,87.60199316411644
3 central_biomass_CHP,eGon2035,4,central_biomass_CHP,143.8954526485687,0.0,1.0,42.10826821554371,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,143.8954526485687,143.8954526485687
3 industrial_biomass_CHP,eGon2035,4,industrial_biomass_CHP,344.8285467315622,0.0,1.0000000000000002,42.107054010260384,1.0000000000000002,False,0.0,0,0,0,1.0,1.0,inf,PV,,344.8285467315622,344.8285467315622
3 load shedding,,4,load shedding,102149393.32915153,0.0,0.9999999999999999,10000.007759279815,0.9999999999999999,False,0.0,0,0,1,1.0,1.0,0.0,PQ,,102149393.32915153,102149393.32915153
3 run_of_river,eGon2035,4,run_of_river,7.478230429539525,0.0,0.6499999999999999,0.006974800398246422,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,7.478230429539525,7.478230429539525
3 solar,eGon2035,4,solar,4374.901498883301,0.0,1.0000000000000002,0.01780786680016669,1.0000000000000002,False,0.0,0,0,0,1.0,1.0,inf,PV,,4374.901498883301,4374.901498883301
3 solar_rooftop,eGon2035,4,solar_rooftop,4165.724686521598,0.0,0.9999999999999999,0.018283976904163973,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,4165.724686521598,4165.724686521598
3 wind_onshore,eGon2035,4,wind_onshore,8804.367916215962,0.0,1.0,1.3079101006603402,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,8804.367916215962,8804.367916215962
4 biomass,eGon2035,4,biomass,12.008782199140578,0.0,1.0000000000000002,42.11031132198823,1.0000000000000002,False,0.0,0,0,0,1.0,1.0,inf,PV,,12.008782199140578,12.008782199140578
4 central_biomass_CHP,eGon2035,4,central_biomass_CHP,72.97167098135053,0.0,1.0000000000000002,42.108882056336896,1.0000000000000002,False,0.0,0,0,0,1.0,1.0,inf,PV,,72.97167098135053,72.97167098135053
4 industrial_biomass_CHP,eGon2035,4,industrial_biomass_CHP,458.7991649528799,0.0,1.0,42.10864972931159,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,458.7991649528799,458.7991649528799
4 load shedding,,4,load shedding,48600270.36654042,0.0,0.9999999999999997,10000.007915471891,0.9999999999999997,False,0.0,0,0,1,1.0,1.0,0.0,PQ,,48600270.36654042,48600270.36654042
4 others,eGon2035,4,others,89.41303564998199,0.0,1.0,0.009364428237105373,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,89.41303564998199,89.41303564998199
4 solar,eGon2035,4,solar,1282.35603958142,0.0,0.9999999999999999,0.017260394683559395,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,1282.35603958142,1282.35603958142
4 solar_rooftop,eGon2035,4,solar_rooftop,2519.8061352304308,0.0,1.0,0.01819001674934608,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,2519.8061352304308,2519.8061352304308
4 wind_offshore,eGon2035,4,wind_offshore,7015.0,0.0,1.0,2.5658707302754586,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,7015.0,7015.0
4 wind_onshore,eGon2035,4,wind_onshore,11474.242553494958,0.0,1.0,1.307815198961281,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,11474.242553494958,11474.242553494958
