name,scn_name,v_nom,carrier,x,y,country,control,generator
0,eGon2035_lowflex,380.0,AC,13.60427444018489,47.549498217049525,AT,Slack,43775 load shedding
1,eGon2035_lowflex,380.0,AC,4.798653786209867,50.74318840599844,BE,Slack,43776 coal
10,eGon2035_lowflex,380.0,AC,16.277634034498558,61.35776074926747,SE,Slack,43788 load shedding
11,eGon2035_lowflex,380.0,AC,8.494869307304251,49.72699435548344,DE,Slack,12 biomass
12,eGon2035_lowflex,380.0,AC,9.123209742813524,53.187455556774275,DE,Slack,0 biomass
13,eGon2035_lowflex,380.0,AC,12.507290033448152,51.85005630610083,DE,Slack,1 biomass
2,eGon2035_lowflex,380.0,AC,8.207947631625533,46.82343065666129,CH,Slack,43777 load shedding
3,eGon2035_lowflex,380.0,AC,15.238200383770577,49.84255074731976,CZ,Slack,43778 coal
4,eGon2035_lowflex,380.0,AC,11.008111579217836,55.750166227541925,DK,Slack,43779 coal
48639,eGon2035_lowflex,1.0,CH4,13.60427444018489,47.549498217049525,AT,Slack,48639 CH4
48640,eGon2035_lowflex,1.0,CH4,4.798653786209867,50.74318840599844,BE,Slack,48640 CH4
48641,eGon2035_lowflex,1.0,CH4,8.207947631625533,46.82343065666129,CH,Slack,48641 load shedding
48642,eGon2035_lowflex,1.0,CH4,15.238200383770577,49.84255074731976,CZ,Slack,48642 CH4
48643,eGon2035_lowflex,1.0,CH4,9.73224872983087,55.99042991134832,DK,Slack,48643 CH4
48644,eGon2035_lowflex,1.0,CH4,3.1555151587908,46.808684469407666,FR,Slack,48644 CH4
48645,eGon2035_lowflex,1.0,CH4,-6.097540942585511,54.6687787490669,GB,Slack,48645 CH4
48646,eGon2035_lowflex,1.0,CH4,6.130510690868267,49.6773404049915,LU,Slack,48646 CH4
48647,eGon2035_lowflex,1.0,CH4,5.55144817647059,52.374286058823536,NL,Slack,48647 CH4
48648,eGon2035_lowflex,1.0,CH4,8.605317995983397,60.97891064521747,NO,Slack,48648 CH4
48649,eGon2035_lowflex,1.0,CH4,18.902232738057837,51.57212911875295,PL,Slack,48649 CH4
48650,eGon2035_lowflex,1.0,CH4,16.277634034498558,61.35776074926747,SE,Slack,48650 CH4
48652,eGon2035_lowflex,1.0,CH4,41.0,55.0,RU,Slack,48652 CH4
5,eGon2035_lowflex,380.0,AC,3.1555151587908,46.808684469407666,FR,Slack,43781 load shedding
50834,eGon2035_lowflex,1.0,central_heat,11.59845953797722,50.91346009548486,DE,Slack,50834 central_biomass_CHP_heat
52040,eGon2035_lowflex,1.0,rural_heat,8.929268870774454,49.70991559151622,DE,Slack,52040 load shedding
52043,eGon2035_lowflex,1.0,rural_heat,9.23256830247862,53.25968695704364,DE,Slack,52043 load shedding
52053,eGon2035_lowflex,1.0,rural_heat,12.49888000920203,51.86212009158055,DE,Slack,52053 load shedding
52087,eGon2035_lowflex,1.0,CH4,9.809392,50.787905,DE,Slack,52087 CH4_NG
52101,eGon2035_lowflex,1.0,H2_grid,9.809392,50.787905,DE,Slack,52101 load shedding
52102,eGon2035_lowflex,1.0,central_heat,10.177694254934108,48.35977944014821,DE,Slack,52102 central_biomass_CHP_heat
52103,eGon2035_lowflex,1.0,central_heat,8.719385936291786,48.41522733025841,DE,Slack,52103 central_biomass_CHP_heat
52104,eGon2035_lowflex,1.0,central_heat,12.407139489961466,48.627671426245215,DE,Slack,52104 central_biomass_CHP_heat
52105,eGon2035_lowflex,1.0,central_heat,11.662832259805288,48.23967696330402,DE,Slack,52105 central_biomass_CHP_heat
52106,eGon2035_lowflex,1.0,central_heat,8.573027483086609,49.85624939106396,DE,Slack,52106 central_biomass_CHP_heat
52107,eGon2035_lowflex,1.0,central_heat,9.248973738946047,48.80282645743406,DE,Slack,52107 central_biomass_CHP_heat
52108,eGon2035_lowflex,1.0,central_heat,11.031489494510733,50.07102483918325,DE,Slack,52108 central_biomass_CHP_heat
52109,eGon2035_lowflex,1.0,central_heat,7.096451410796106,49.79722050162998,DE,Slack,52109 central_biomass_CHP_heat
52110,eGon2035_lowflex,1.0,central_heat,12.499157255287558,51.106901762846974,DE,Slack,52110 central_biomass_CHP_heat
52111,eGon2035_lowflex,1.0,central_heat,7.003610369037716,51.13867320090468,DE,Slack,52111 central_biomass_CHP_heat
52112,eGon2035_lowflex,1.0,central_heat,8.434028102884405,51.932425361010395,DE,Slack,52112 central_biomass_CHP_heat
52114,eGon2035_lowflex,1.0,central_heat,10.499592407668704,52.11242664226291,DE,Slack,52114 central_biomass_CHP_heat
52115,eGon2035_lowflex,1.0,central_heat,13.454415867709397,52.35650794148649,DE,Slack,52115 central_biomass_CHP_heat
52116,eGon2035_lowflex,1.0,central_heat,10.400564434791853,53.69602967234665,DE,Slack,52116 central_biomass_CHP_heat
52117,eGon2035_lowflex,1.0,central_heat,7.3076764478056235,51.560906212328334,DE,Slack,52117 load shedding
52118,eGon2035_lowflex,1.0,central_heat,8.640075490520696,53.18979027849701,DE,Slack,52118 central_biomass_CHP_heat
52119,eGon2035_lowflex,1.0,central_heat,7.452733289195281,53.209986501694715,DE,Slack,52119 central_biomass_CHP_heat
52120,eGon2035_lowflex,1.0,central_heat,12.829941707706856,53.81469437061224,DE,Slack,52120 central_biomass_CHP_heat
52121,eGon2035_lowflex,1.0,central_heat,9.33160687033492,54.36387532378248,DE,Slack,52121 central_biomass_CHP_heat
52122,eGon2035_lowflex,1.0,central_heat,10.009206960514916,53.82636936070705,DE,Slack,52122 central_biomass_CHP_heat
6,eGon2035_lowflex,380.0,AC,-4.036611166043771,53.97543323566312,GB,Slack,43782 lignite
7,eGon2035_lowflex,380.0,AC,5.55144817647059,52.374286058823536,NL,Slack,43785 load shedding
8,eGon2035_lowflex,380.0,AC,8.605317995983397,60.97891064521747,NO,Slack,43786 load shedding
9,eGon2035_lowflex,380.0,AC,18.902232738057837,51.57212911875295,PL,Slack,43787 coal
